episode_id,title,season,air_date,characters,episode,series
35,Thirty-Eight Snub,4,07-24-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Saul Goodman, Mike Ehrmantraut, Andrea Cantillo",2,Breaking Bad
36,Open House,4,07-31-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Saul Goodman, Bogdan Wolynetz",3,Breaking Bad
37,Bullet Points,4,08-07-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, White White Jr., Gustavo Fring, Saul Goodman, Mike Ehrmantraut, Gale Boetticher",4,Breaking Bad
38,Shotgun,4,08-14-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Mike Ehrmantraut",5,Breaking Bad
39,Cornered,4,08-21-2011,"Walter White, Jesse Pinkman, Skyler White, Walter White Jr., Gustavo Fring, Mike Ehrmantraut, Bogdan Wolynetz",6,Breaking Bad
40,Problem Dog,4,08-28-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Saul Goodman, Mike Ehrmantraut, Gale Boetticher",7,Breaking Bad
41,Hermanos,4,09-04-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Saul Goodman, Mike Ehrmantraut, Hector Salamanca, Andrea Cantillo",8,Breaking Bad
42,Bug,4,09-11-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Gustavo Fring, Mike Ehrmantraut, Ted Beneke",9,Breaking Bad
43,Salud,4,09-18-2011,"Walter White, Jesse Pinkman, Skyler White, Walter White Jr., Gustavo Fring, Saul Goodman, Mike Ehrmantraut, Ted Beneke, Don Eladio",10,Breaking Bad
44,Crawl Space,4,09-25-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Saul Goodman, Mike Ehrmantraut, Hector Salamanca, Ted Beneke, Andrea Cantillo",11,Breaking Bad
45,End Times,4,10-02-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Saul Goodman, Andrea Cantillo",12,Breaking Bad
46,Face Off,4,10-09-2011,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Saul Goodman",13,Breaking Bad
47,Live Free of Die,5,07-15-2012,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Walter White Jr., Saul Goodman, Mike Ehrmantraut, Ted Beneke",1,Breaking Bad
48,Madrigal,5,07-22-2012,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Walter White Jr., Saul Goodman, Mike Ehrmantraut, Lydia Rodarte-Quayle",2,Breaking Bad
49,Hazard Pay,5,07-29-2012,"Walter White, Jesse Pinkman, Skyler White, Marie Schrader, Walter White Jr., Saul Goodman, Mike Ehrmantraut, Badger, Andrea Cantillo, Todd Alquist",3,Breaking Bad
50,Fifty-One,5,08-05-2012,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Mike Ehrmantraut, Lydia Rodarte-Quayle",4,Breaking Bad
51,Dead Freight,5,08-12-2012,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Mike Ehrmantraut, Lydia Rodarte-Quayle, Todd Alquist",5,Breaking Bad
52,Buyout,5,08-19-2012,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Saul Goodman, Mike Ehrmantraut, Todd Alquist",6,Breaking Bad
53,Say My Name,5,08-26-2012,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Saul Goodman, Mike Ehrmantraut, Todd Alquist",7,Breaking Bad
54,Gliding Over All,5,09-02-2012,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Saul Goodman, Mike Ehrmantraut, Lydia Rodarte-Quayle, Todd Alquist",8,Breaking Bad
55,Blood Money,5,08-11-2013,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Saul Goodman, Lydia Rodarte-Quayle, Badger, Skinny Pete",9,Breaking Bad
56,Buried,5,08-18-2013,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Saul Goodman, Lydia Rodarte-Quayle, Todd Alquist, Jack Welker",10,Breaking Bad
57,Confessions,5,08-25-2013,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Saul Goodman, Todd Alquist, Jack Welker",11,Breaking Bad
58,Rabid Dog,5,09-01-2013,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Saul Goodman",12,Breaking Bad
59,To'hajilee,5,09-08-2013,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Saul Goodman, Lydia Rodarte-Quayle, Todd Alquist, Andrea Cantillo, Jack Welker",13,Breaking Bad
60,Ozymandias,5,09-15-2013,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Todd Alquist, Jack Welker, Steve Gomez",14,Breaking Bad
61,Granite State,5,09-22-2013,"Walter White, Jesse Pinkman, Skyler White, Marie Schrader, Saul Goodman, Lydia Rodarte-Quayle, Todd Alquist, Jack Welker, Andrea Cantillo, Eliott Schwartz, Gretchen Schwartz",15,Breaking Bad
62,Felina,5,09-29-2013,"Walter White, Jesse Pinkman, Skyler White, Marie Schrader, Walter White Jr., Lydia Rodarte-Quayle, Todd Alquist, Jack Welker, Badger, Skinny Pete, Eliott Schwartz, Gretchen Schwartz",16,Breaking Bad
63,Uno,1,02-08-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",1,Better Call Saul
64,Mijo,1,02-09-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga, Tuco Salamanca",2,Better Call Saul
65,Nacho,1,02-16-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",3,Better Call Saul
