episode_id,title,season,air_date,characters,episode,series
66,Hero,1,02-23-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",4,Better Call Saul
67,Alpine Shepherd Boy,1,03-02-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",5,Better Call Saul
68,Five-O,1,03-09-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",6,Better Call Saul
69,Bingo,1,03-16-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",7,Better Call Saul
70,RICO,1,03-23-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",8,Better Call Saul
71,Pimento,1,03-30-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",9,Better Call Saul
72,Marco,1,04-06-2015,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",10,Better Call Saul
73,Switch,2,02-15-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",1,Better Call Saul
74,Cobbler,2,02-22-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",2,Better Call Saul
75,Amarillo,2,02-29-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",3,Better Call Saul
76,Gloves Off,2,03-07-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",4,Better Call Saul
77,Rebecca,2,03-14-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",5,Better Call Saul
78,Bali Ha'i,2,03-21-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",6,Better Call Saul
79,Inflatable,2,03-28-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",7,Better Call Saul
80,Fifi,2,04-04-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",8,Better Call Saul
81,Nailed,2,04-11-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",9,Better Call Saul
82,Klick,2,04-18-2016,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",10,Better Call Saul
83,Mabel,3,04-10-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",1,Better Call Saul
84,Witness,3,04-17-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",2,Better Call Saul
85,Sunk Costs,3,04-24-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",3,Better Call Saul
86,Sabrosito,3,05-01-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",4,Better Call Saul
87,Chicanery,3,05-08-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",5,Better Call Saul
88,Off Brand,3,05-15-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",6,Better Call Saul
89,Expenses,3,05-22-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",7,Better Call Saul
90,Slip,3,06-05-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",8,Better Call Saul
91,Fall,3,06-12-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",9,Better Call Saul
92,Lantern,3,06-19-2017,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",10,Better Call Saul
93,Smoke,4,08-06-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",1,Better Call Saul
94,Breathe,4,08-13-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",2,Better Call Saul
95,Something Beautiful,4,08-20-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",3,Better Call Saul
96,Talk,4,08-27-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",4,Better Call Saul
97,Quite a Ride,4,09-03-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",5,Better Call Saul
98,Pinata,4,09-10-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",6,Better Call Saul
99,Something Stupid,4,09-17-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",7,Better Call Saul
100,Coushatta,4,09-24-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",8,Better Call Saul
101,Wiedersehen,4,10-01-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",9,Better Call Saul
102,Winner,4,10-08-2018,"Jimmy McGill, Mike Erhmantraut, Kim Wexler, Howard Hamlin, Chuck McGill, Nacho Varga",10,Better Call Saul
